,ZCTA,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months,Black alone,Median Age,Housing Units,Average Unit Size,Density (persons per square mile),Confirmed NH/ACF Deaths,Presumed NH/ACF Deaths,NH/ACF Deaths
75,10307,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,10307.0,15232.0,1000.0,56.0,14284.0,44603.0,98897.0,56.0,39.7,5314.0,2.866390666164848,7184.505606999999,0,0,0
76,10308,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,10308.0,30186.0,1900.0,439.0,27810.0,44360.0,104497.0,339.0,42.9,10648.0,2.8348985725018783,13865.686769999998,0,0,0
77,10309,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,10309.0,33531.0,1800.0,313.0,30789.0,44599.0,114083.0,293.0,40.5,11464.0,2.9248953244940683,4839.8571219999985,0,0,0
78,10310,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,10310.0,23262.0,2100.0,5401.0,13731.0,37543.0,83775.0,4844.0,38.8,8346.0,2.7872034507548524,13906.40669,0,0,0
79,10311,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,10311.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
80,10312,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,10312.0,61741.0,4400.0,1046.0,56226.0,42198.0,107874.0,793.0,41.6,21382.0,2.887522214947152,7720.869678,0,0,0
81,10314,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,10314.0,90761.0,6400.0,4427.0,66310.0,39054.0,101501.0,3852.0,40.8,31362.0,2.893979975766852,6239.784005,38,49,87
82,10451,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,10451.0,47798.0,2500.0,20867.0,5972.0,19450.0,34974.0,19379.0,34.1,19123.0,2.4995032160225907,44381.5534,0,0,0
83,10452,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,10452.0,76078.0,3800.0,27616.0,9592.0,17669.0,31631.0,25249.0,31.6,26126.0,2.911965092245273,76209.30232999999,0,0,0
84,10453,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,10453.0,79606.0,4800.0,27063.0,6841.0,16571.0,29433.0,25826.0,30.4,27266.0,2.9196068363529672,85490.17467000001,0,0,0
85,10454,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,10454.0,38203.0,2300.0,12941.0,5040.0,15778.0,27006.0,12109.0,29.6,13167.0,2.9014202172096915,35660.936010000005,0,0,0
86,10455,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,10455.0,42283.0,2600.0,13540.0,5221.0,17440.0,31884.0,12809.0,30.6,14401.0,2.9361155475314216,55709.26966000001,0,0,0
87,10456,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,10456.0,94218.0,4900.0,42254.0,10146.0,16558.0,32881.0,40069.0,30.9,30774.0,3.0616104503801913,85016.69941,17,29,46
88,10457,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,10457.0,74554.0,4900.0,31654.0,11452.0,16871.0,33299.0,29962.0,29.8,24634.0,3.0264674839652512,66442.97832000001,6,14,20
89,10458,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,10458.0,83960.0,4700.0,18960.0,14887.0,17907.0,36850.0,16690.0,29.0,27282.0,3.077486987757496,78782.95342,0,0,0
90,10459,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,10459.0,48351.0,3400.0,17790.0,5615.0,18458.0,34086.0,16650.0,31.3,16382.0,2.951471126846539,57692.68293,22,0,22
91,10460,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,10460.0,59505.0,3500.0,19091.0,9370.0,16160.0,30654.0,18035.0,31.6,20443.0,2.9107763048476247,43582.50951,0,0,0
92,10461,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,10461.0,50348.0,3700.0,5908.0,24270.0,31097.0,65385.0,4714.0,37.8,18927.0,2.6601151793733817,21068.83605,10,11,21
93,10462,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,10462.0,76756.0,5300.0,23923.0,17796.0,28300.0,57511.0,21705.0,36.3,29543.0,2.598111227701993,51448.74406000001,4,19,23
94,10463,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,10463.0,71360.0,4500.0,13003.0,32109.0,30734.0,67780.0,10764.0,39.8,28682.0,2.4879715501011086,46908.21256,51,127,178
95,10464,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,10464.0,4434.0,250.0,119.0,3495.0,55443.0,131667.0,119.0,44.9,1893.0,2.342313787638669,1295.058555,0,0,0
96,10465,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,10465.0,44205.0,3400.0,6201.0,26656.0,36085.0,93767.0,5638.0,41.5,15994.0,2.7638489433537576,12333.52804,12,44,56
97,10466,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,10466.0,72479.0,4200.0,54368.0,8034.0,26846.0,61668.0,52974.0,36.6,23704.0,3.0576695916301047,33654.09429,6,16,22
98,10467,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,10467.0,103732.0,5600.0,38921.0,23469.0,21666.0,41726.0,36599.0,33.7,36732.0,2.8240226505499293,41478.63248,20,53,73
99,10468,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,10468.0,78647.0,4200.0,18087.0,9933.0,19907.0,40582.0,16529.0,32.2,26338.0,2.9860657604981395,71124.29907000001,22,51,73
100,10469,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10469.0,73870.0,5100.0,41477.0,13892.0,29338.0,73976.0,40103.0,40.2,22450.0,3.2904231625835187,26954.28803,79,65,144
101,10470,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,10470.0,15432.0,1400.0,6227.0,6572.0,31247.0,67576.0,6027.0,40.5,6076.0,2.5398288347597098,10716.88858,0,0,0
102,10471,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,10471.0,21896.0,2000.0,2919.0,15033.0,41965.0,110615.0,2583.0,44.9,8598.0,2.546638753198418,8919.066148,36,10,46
103,10472,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,10472.0,68796.0,4100.0,20150.0,10270.0,17990.0,35936.0,18821.0,32.1,21887.0,3.143235710695847,63077.94677,5,13,18
104,10473,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,10473.0,59609.0,3200.0,25936.0,22362.0,24379.0,50481.0,24533.0,36.1,20935.0,2.8473369954621446,26855.8972,3,0,3
105,10474,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,10474.0,12127.0,800.0,5151.0,1118.0,15928.0,30016.0,4782.0,30.2,3488.0,3.47677752293578,7974.675325,0,0,0
106,10475,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,10475.0,43208.0,1100.0,28010.0,7682.0,31610.0,63540.0,26281.0,45.0,18759.0,2.303321072551842,23645.86944,5,4,9
107,11001,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,11001.0,27867.0,3100.0,1657.0,19036.0,45805.0,128906.0,1511.0,43.0,9144.0,3.04757217847769,12076.81941,0,0,0
108,11003,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,11003.0,45263.0,2800.0,22706.0,9578.0,35456.0,102700.0,21333.0,38.7,12256.0,3.693129895561358,9982.138547,0,0,0
109,11004,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,11004.0,15234.0,1000.0,1198.0,6402.0,40751.0,106834.0,1005.0,44.4,5178.0,2.9420625724217846,14738.17035,5,5,10
110,11005,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,11005.0,1749.0,100.0,0.0,1726.0,40840.0,103208.0,0.0,81.5,1271.0,1.3760818253343825,9815.217391,0,0,0
111,11040,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,11040.0,41877.0,3500.0,839.0,20645.0,47579.0,136496.0,687.0,43.8,12876.0,3.25232991612302,8526.447836,82,0,82
112,11101,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,11101.0,30043.0,2200.0,5395.0,12915.0,40222.0,68840.0,4713.0,34.1,13169.0,2.2813425468904245,9752.774589,0,0,0
113,11102,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,11102.0,30800.0,2700.0,3375.0,18207.0,37369.0,60821.0,2964.0,33.7,13072.0,2.356181150550796,42243.81188,1,26,27
114,11103,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,11103.0,36140.0,3600.0,1318.0,25632.0,40490.0,76070.0,961.0,33.8,15665.0,2.307053941908713,54542.89732999999,0,0,0
115,11104,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,11104.0,26119.0,1900.0,670.0,17459.0,38229.0,69636.0,490.0,37.8,11619.0,2.2479559342456317,70005.14139,0,0,0
116,11105,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,11105.0,37382.0,3400.0,1308.0,27867.0,40863.0,84246.0,960.0,35.4,15363.0,2.4332487144437933,22480.39216,0,0,0
117,11106,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,11106.0,38363.0,3000.0,3431.0,20734.0,37084.0,67298.0,2727.0,35.5,16992.0,2.2577095103578158,45361.72695,0,0,0
118,11109,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,11109.0,5981.0,250.0,287.0,4013.0,98396.0,194135.0,272.0,32.7,2954.0,2.0247122545700744,88075.0,0,0,0
119,11201,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,11201.0,62823.0,5300.0,10030.0,40248.0,72793.0,168979.0,8537.0,35.2,28067.0,2.2383225852424555,35904.494380000004,30,87,117
120,11203,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,11203.0,75451.0,6800.0,67977.0,3330.0,30301.0,63919.0,67171.0,39.8,27761.0,2.717877598069234,35495.80615,20,51,71
